,Bioprinting,Cardiac Patch,Piezo,Vasculature
Cardiac_Patch_Bioprinting_Vasculature_Piezo,0,5,0,14
Cardiac_Patch_Bioprinting_Vasculature,0,5,0,14
Cardiac_Patch_Bioprinting_Piezo,13,783,2,16
Cardiac_Patch_Vasculature_Piezo,0,5,0,14
Bioprinting_Vasculature_Piezo,21,7,0,3729
Cardiac_Patch_Bioprinting,13,783,2,16
Cardiac_Patch_Vasculature,4,64,0,143
Cardiac_Patch_Piezo,13,783,2,16
Bioprinting_Vasculature,21,7,0,3729
Bioprinting_Piezo,3819,845,1586,3894
Vasculature_Piezo,21,7,0,3729
Total,31812,4416,18355,19647
